,item,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugars,protein
0,Bacon Cheeseburger,330,140,16,7.0,0.0,55,830,32,1.0,7,18.0
1,Bacon Cheeseburger Deluxe,290,120,14,6.0,0.5,40,720,28,1.0,7,12.0
2,Bacon King,1040,630,48,28.0,2.5,220,1900,48,1.0,10,57.0
3,Bacon King Jr,730,351,39,9.0,0.0,90,1930,63,,16,32.0
4,BBQ Bacon King,1100,675,75,29.0,3.0,220,1850,51,,13,57.0
5,Cheeseburger,300,130,14,6.0,0.0,45,710,28,1.0,6,16.0
6,Double Bacon Cheeseburger,520,280,31,14.0,1.0,105,1180,33,1.0,8,31.0
7,Double Cheeseburger,450,230,26,12.0,1.0,95,960,29,1.0,6,26.0
8,Double Hamburger,360,160,18,8.0,0.0,70,520,28,1.0,6,22.0
9,Double Quarter Pound King,900,486,54,25.0,3.0,210,1740,50,2.0,11,56.0
10,Extra Long Cheeseburger,580,300,33,13.0,1.5,85,1030,45,2.0,9,26.0
11,Farmhouse King,1220,720,80,28.0,3.0,335,2050,62,,15,
12,Hamburger,260,90,10,4.0,0.0,35,490,28,1.0,6,13.0
13,Homestyle Cheeseburger,550,250,27,12.0,1.5,95,1140,48,2.0,10,30.0
14,Mushroom & Swiss King,940,567,63,21.0,2.5,175,1380,45,,8,49.0
15,Rodeo Burger,310,110,13,4.0,0.5,25,450,38,1.0,9,9.0
16,Rodeo King,1250,738,82,31.0,3.5,230,2270,69,,14,60.0
17,Steakhouse King,1100,666,74,24.0,1.0,180,1620,59,,13,50.0
18,Bacon & Cheese Whopper,770,432,48,16.0,2.0,95,1360,47,2.0,9,29.0
19,DOUBLE WHOPPER w/ Cheese,990,580,65,24.0,2.0,160,1480,53,3.0,11,52.0
20,DOUBLE WHOPPER w/o Cheese,900,510,57,19.0,2.0,140,1050,51,3.0,11,47.0
21,WHOPPER w/ Cheese,760,430,47,16.0,1.0,100,1410,53,3.0,11,33.0
22,WHOPPER w/o Cheese,670,360,40,11.0,1.0,75,980,51,3.0,11,29.0
23,WHOPPER JR. w/ Cheese,380,210,23,8.0,1.0,55,730,29,2.0,6,16.0
24,WHOPPER JR. w/o Cheese,340,170,19,5.0,0.0,40,510,28,2.0,6,14.0
25,1% Low Fat Chocolate Milk,160,25,3,2.0,0.0,15,150,26,0.0,25,8.0
26,Barq's Root Beer,220,0,0,0.0,0.0,0,25,61,0.0,61,0.0
27,Capri Sun® 100% Apple Juice,80,0,0,0.0,0.0,0,25,20,0.0,20,0.0
28,Cherry Coke,200,0,0,0.0,0.0,0,10,56,0.0,56,0.0
29,Chocolate Milk Shake,690,160,18,14.0,0.0,40,380,121,2.0,107,12.0
30,Coca Cola Classic,190,0,0,0.0,0.0,0,0,51,0.0,51,0.0
31,Diet Coke,0,0,0,0.0,0.0,0,20,0,0.0,0,0.0
32,Dr. Pepper,190,0,0,0.0,0.0,0,45,51,0.0,51,0.0
33,Fanta Orange,210,0,0,0.0,0.0,0,0,56,0.0,56,0.0
34,Fat Free Milk,90,0,0,0.0,0.0,5,125,13,0.0,12,9.0
35,Frozen Coke,110,0,0,0.0,0.0,0,10,31,0.0,31,0.0
36,Frozen SURGE™ Large,120,0,0,0.0,0.0,0,10,32,0.0,29,0.0
37,Frozen SURGE™ Medium,100,0,0,0.0,0.0,0,5,27,0.0,24,0.0
38,Frozen SURGE™ Small,80,0,0,0.0,0.0,0,5,22,0.0,20,0.0
39,Hi-C Fruit Punch,200,0,0,0.0,0.0,0,15,55,0.0,55,0.0
40,Hot Chocolate,230,25,3,2.0,0.0,0,290,52,1.0,41,3.0
41,Minute Maid Light Lemonade,10,0,0,0.0,0.0,0,0,1,0.0,0,0.0
42,Minute Maid Orange Juice,140,0,0,0.0,0.0,0,20,33,0.0,30,2.0
43,Peach Tea,100,0,0,0.0,0.0,0,0,23,0.0,23,0.0
44,Sprite,190,0,0,0.0,0.0,0,40,51,0.0,51,0.0
45,Strawberry Banana Smoothie,310,5,1,0.0,0.0,0,35,73,2.0,60,2.0
46,Strawberry Milk Shake,610,150,17,13.0,0.0,40,390,102,1.0,91,12.0
47,Sweet Tea,120,0,0,0.0,0.0,0,0,35,0.0,35,0.0
48,Tropical Mango Smoothie,330,10,1,0.0,0.0,0,65,78,2.0,63,3.0
49,Unsweetened Tea,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0
