,item,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugars,protein
0,Chargrilled Chicken Club Sandwich,430.0,144,16.0,8.0,0.0,85.0,1120.0,37.0,3.0,7.0,37.0
1,Chargrilled Chicken Sandwich,310.0,54,6.0,2.0,0.0,55.0,820.0,36.0,3.0,7.0,29.0
2,Chick-n-Strips 1 Piece,120.0,54,6.0,3.0,0.0,25.0,320.0,6.0,0.0,1.0,11.0
3,Chick-n-Strips 2 Piece,230.0,108,12.0,3.0,0.0,55.0,630.0,13.0,1.0,1.0,22.0
4,Chick-n-Strips 3 Piece,350.0,153,17.0,3.0,0.0,70.0,940.0,22.0,1.0,3.0,28.0
5,Chick-n-Strips 4 piece,470.0,207,23.0,3.0,0.0,90.0,1250.0,29.0,1.0,4.0,37.0
6,Chicken Deluxe,500.0,207,23.0,7.0,0.0,75.0,1590.0,42.0,3.0,6.0,31.0
7,Chicken Nuggets 12 piece,390.0,162,18.0,1.5,0.0,115.0,1460.0,14.0,2.0,1.0,41.0
8,Chicken Nuggets 4 piece,130.0,54,6.0,1.5,0.0,40.0,490.0,5.0,1.0,0.0,14.0
9,Chicken Nuggets 6 piece,190.0,81,9.0,1.5,0.0,55.0,730.0,7.0,1.0,0.0,21.0
10,Chicken Nuggets 8 piece,260.0,110,12.0,3.0,0.0,70.0,990.0,9.0,1.0,1.0,28.0
11,Chicken Salad Sandwich,490.0,170,19.0,3.0,0.0,80.0,1130.0,55.0,5.0,12.0,28.0
12,Chicken Sandwich,440.0,171,19.0,4.0,0.0,60.0,1350.0,40.0,2.0,5.0,28.0
13,Grilled Chicken Nuggets 12 Piece,210.0,45,5.0,1.0,0.0,100.0,670.0,3.0,0.0,1.0,38.0
14,Grilled Chicken Nuggets 4 Piece,70.0,18,2.0,1.0,0.0,35.0,220.0,1.0,0.0,0.0,13.0
15,Grilled Chicken Nuggets 6 Piece,110.0,27,3.0,1.0,0.0,50.0,330.0,2.0,0.0,0.0,19.0
16,Grilled Chicken Nuggets 8 piece,140.0,36,4.0,1.0,0.0,70.0,440.0,2.0,0.0,0.0,25.0
17,Smokehouse BBQ Bacon Sandwich,500.0,162,18.0,0.0,0.0,95.0,1200.0,46.0,2.0,10.0,33.0
18,Spicy Chicken Sandwich,450.0,171,19.0,4.0,0.0,60.0,1620.0,41.0,1.0,5.0,29.0
19,Spicy Deluxe,540.0,225,25.0,8.0,0.0,80.0,1760.0,43.0,2.0,6.0,34.0
20,Coca-Cola Classic (small),120.0,0,0.0,0.0,0.0,0.0,10.0,35.0,0.0,35.0,0.0
21,Coffee Large,5.0,0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0
22,Coffee Medium,5.0,0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0
23,Coffee Small,5.0,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
24,Diet Coke Large,0.0,0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0
25,Diet Coke Medium,0.0,0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0
26,Diet Coke Small,0.0,0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
27,Diet Lemonade (small),15.0,0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,2.0,0.0
28,Dr Pepper Large,130.0,0,0.0,0.0,0.0,0.0,45.0,35.0,0.0,35.0,0.0
29,Dr Pepper Medium,130.0,0,0.0,0.0,0.0,0.0,45.0,35.0,0.0,35.0,0.0
30,Dr Pepper Small,130.0,0,0.0,0.0,0.0,0.0,45.0,35.0,0.0,35.0,0.0
31,Frosted Lemonade Diet,240.0,54,6.0,3.5,0.0,20.0,160.0,41.0,0.0,39.0,6.0
32,Frosted Lemonade Regular,330.0,54,6.0,3.5,0.0,20.0,160.0,65.0,0.0,63.0,6.0
33,Iced Coffee Large,180.0,27,3.0,2.0,0.0,10.0,85.0,33.0,0.0,31.0,6.0
34,Iced Coffee Small,150.0,27,3.0,1.5,0.0,10.0,70.0,26.0,0.0,25.0,5.0
35,Lemonade (small),170.0,0,0.0,0.0,0.0,0.0,5.0,46.0,0.0,43.0,0.0
36,Minute Maid Apple Juice Box,90.0,0,0.0,0.0,0.0,0.0,15.0,20.0,0.0,19.0,0.0
37,Simply Orange Juice,160.0,0,0.0,0.0,0.0,0.0,0.0,38.0,2.0,35.0,3.0
38,Sprite Large,260.0,0,0.0,0.0,0.0,0.0,55.0,65.0,0.0,57.0,0.0
39,Sprite Medium,170.0,0,0.0,0.0,0.0,0.0,40.0,44.0,0.0,39.0,0.0
40,Sprite Small,130.0,0,0.0,0.0,0.0,0.0,30.0,32.0,0.0,29.0,0.0
41,Sweet Tea (small),90.0,0,0.0,0.0,0.0,0.0,5.0,24.0,0.0,24.0,0.0
42,Unsweetened Iced Tea Large,0.0,0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
43,Unsweetened Iced Tea Medium,0.0,0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
44,Vanilla Iced Coffee Large,200.0,27,3.0,2.0,0.0,10.0,85.0,38.0,0.0,35.0,6.0
45,Vanilla Iced Coffee Small,160.0,27,3.0,1.5,0.0,10.0,70.0,30.0,0.0,28.0,5.0
46,Watermelon Mint Lemonade,210.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
