,item,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugars,protein
0,1/2 lb.* Cheesy Potato Burrito,540,230,26,7.0,1.0,45,1360,59,7,4,19
1,1/2 lb.* Combo Burrito,460,170,18,7.0,1.0,45,1320,53,9,3,21
2,7-Layer Burrito,510,170,19,7.0,0.0,20,1090,68,11,4,16
3,Bean Burrito,370,100,11,4.0,0.0,5,960,56,9,3,13
4,Beefy 5-Layer Burrito,550,200,22,8.0,0.0,35,1270,68,8,5,19
5,Beefy Fritos® Burrito,440,160,18,5.0,0.0,20,1030,55,4,3,13
6,Black Bean Burrito,410,110,12,4.0,0.0,10,1100,62,8,3,14
7,Burrito Supreme® – Beef,420,140,16,7.0,0.0,35,1090,53,8,5,16
8,Burrito Supreme® - Chicken,390,110,12,5.0,0.0,40,1050,52,7,5,19
9,Burrito Supreme® - Steak,390,120,13,5.0,0.0,30,1090,52,7,5,17
10,Cantina Power Burrito - Chicken,760,240,27,6.0,0.0,60,1960,96,12,7,32
11,Cantina Power Burrito - Steak,780,250,28,7.0,0.0,50,1900,98,13,7,33
12,Cantina Power Burrito - Veggie,740,230,26,5.0,0.0,10,1750,107,17,8,20
13,Cheesy Bean and Rice Burrito,420,160,17,3.5,0.0,0,930,55,6,4,11
14,Chili Cheese Burrito,380,150,17,8.0,1.0,35,930,41,5,2,16
15,Crunchy Cheesy Core Burrito Beef,630,240,26,10.0,0.5,45,1530,76,7,5,22
16,Crunchy Cheesy Core Burrito Chicken,610,210,24,9.0,0.0,55,1510,74,5,5,25
17,Crunchy Cheesy Core Burrito Steak,610,220,24,9.0,0.0,50,1520,75,5,5,25
18,Loaded Taco Burrito,550,260,29,9.0,0.5,50,1130,52,7,4,20
19,Quesarito Beef,650,300,34,12.0,0.5,60,1450,65,6,5,22
20,Quesarito Chicken,620,270,30,10.0,0.0,60,1440,64,4,4,24
21,Quesarito Steak,630,280,31,11.0,0.5,65,1410,64,3,4,25
22,Shredded Chicken Burrito,400,160,18,4.5,0.0,30,960,45,3,3,16
