,item,calories,calories_from_fat,total_fat,saturated_fat,trans_fat,cholesterol,sodium,carbohydrates,fiber,sugars,protein
0,Asiago Ranch Club w/ Homestyle Chicken,690,324,36,12.0,0.0,95,1630,56,4,9,35
1,Asiago Ranch Club w/SpicyChicken,710,333,37,12.0,0.0,110,1630,57,3,9,40
2,Asiago Ranch Club w/Ultimate Chicken Grill,570,243,27,10.0,0.0,125,1530,41,3,9,42
3,Bacon Queso Burger,550,290,32,14.0,1.5,110,1140,36,2,7,33
4,Bacon Queso Chicken Sandwich,590,250,27,9.0,0.0,105,1600,53,2,7,37
5,Baconator Single,660,360,40,17.0,2.0,120,1440,40,2,9,36
6,"Cheeseburger, Kids' Meal",290,117,13,6.0,1.0,45,750,25,1,5,17
7,Chicken Go Wrap w/ Grilled Chicken,260,90,10,4.0,0.0,50,730,25,1,3,19
8,Chicken Go Wrap w/ Homestyle Chicken,320,144,16,5.0,0.0,35,770,30,1,1,15
9,Chicken Go Wrap w/ Spicy Chicken,340,144,16,5.0,0.0,45,770,31,1,1,17
10,Crispy Chicken BLT,440,220,24,7.0,0.0,55,950,37,1,5,20
11,Crispy Chicken Sandwich,380,180,20,4.0,0.0,35,720,37,2,4,15
12,Dave's Double Cheeseburger,800,432,48,21.0,3.0,175,1530,42,3,10,50
13,Dave's Single Cheeseburger,580,297,33,14.0,2.0,105,1240,42,3,10,31
14,Dave's Triple Cheeseburger,1060,603,67,30.0,4.0,255,2020,42,3,10,72
15,Double Stack,400,189,21,9.0,2.0,85,1080,26,1,5,27
16,Fresh Mozzarella Chicken Sandwich,420,120,14,6.0,0.0,120,910,34,2,6,41
17,Giant Junior Bacon Cheeseburger (JBC),570,340,38,15.0,1.5,125,1290,26,1,6,33
18,Grilled Chicken Sandwich,360,80,8,1.5,0.0,90,820,38,3,11,35
19,"Hamburger, Kids' Meal",250,90,10,4.0,1.0,35,540,25,1,5,15
20,Homestyle Chicken Fillet Sandwich,510,189,21,6.0,0.0,60,1140,54,4,8,26
21,Jalapeno Fresco Spicy Chicken Sandwich,590,260,29,9.0,0.5,100,1370,51,2,6,34
22,Jr. Bacon Cheeseburger (JBC),380,200,22,8.0,1.0,65,850,26,1,5,19
23,Jr. Cheeseburger,290,117,13,6.0,1.0,45,820,26,1,5,17
24,Jr. Cheeseburger Deluxe,350,171,19,7.0,1.0,55,850,27,2,6,17
25,Jr. Hamburger,250,90,10,4.0,1.0,35,620,25,1,5,15
26,Kids Grilled Chicken Wrap,260,90,10,3.5,0.0,55,740,25,1,3,19
27,Premium Cod Sandwich,480,207,23,4.0,0.0,40,970,51,3,6,18
28,Smoky Mushroom Bacon Cheeseburger,760,441,49,15.0,1.5,110,1310,46,4,6,36
29,Son of Baconator,700,387,43,18.0,1.5,130,1760,40,2,9,39
30,Spicy Chicken Fillet Sandwich,530,198,22,6.0,0.0,75,1140,55,3,8,31
31,Spicy Sriracha Chicken Sandwich,670,310,35,11.0,0.5,110,1690,51,2,6,39
32,Ultimate Chicken Grill Sandwich,390,90,10,4.0,0.0,90,1080,42,3,10,33
33,"All Natural Lemonade, Small Cup",190,0,0,0.0,0.0,0,5,49,0,46,0
34,"Barq's Root Beer, Small Cup",180,0,0,0.0,0.0,0,40,50,0,50,0
35,Brewed Sweetened Iced Tea,110,0,0,0.0,0.0,0,10,29,0,28,0
36,Brewed Unsweetened Iced Tea,5,0,0,0.0,0.0,0,10,1,0,0,0
37,"Coca-Cola, Small Cup",200,0,0,0.0,0.0,0,45,54,0,54,0
38,"Coke Zero™, Small Cup",0,0,0,0.0,0.0,0,5,0,0,0,0
